"Year" "Month" "NINO3.4" "ANOM3.4" "TS.freq" "TY.freq" "SuperTY.freq"
2005 9 26.63 -0.09 5 4 1
2005 10 26.75 0.06 2 2 0
2005 11 26.34 -0.31 2 1 0
2005 12 25.89 -0.68 0 0 0
2006 1 25.64 -0.93 0 0 0
2006 2 26.08 -0.64 0 0 0
2006 3 26.57 -0.65 0 0 0
2006 4 27.59 -0.19 0 0 0
2006 5 27.91 0.06 1 1 0
2006 6 27.85 0.2 2 1 1
2006 7 27.35 0.13 3 2 0
2006 8 27.22 0.4 6 3 2
2006 9 27.34 0.62 5 3 2
2006 10 27.47 0.78 3 2 1
2006 11 27.73 1.08 2 2 2
2006 12 27.76 1.19 2 1 0
2007 1 27.26 0.69 0 0 0
2007 2 26.81 0.09 0 0 0
2007 3 27.18 -0.04 1 1 0
2007 4 27.78 0 0 0 0
2007 5 27.57 -0.28 1 1 0
2007 6 27.55 -0.1 0 0 0
2007 7 26.79 -0.43 4 2 1
2007 8 26.2 -0.62 4 2 1
2007 9 25.77 -0.95 5 3 1
2007 10 25.22 -1.47 6 2 1
2007 11 25.06 -1.59 4 3 0
2007 12 24.97 -1.6 0 0 0
2008 1 24.71 -1.86 0 0 0
2008 2 24.83 -1.89 0 0 0
2008 3 26.07 -1.15 0 0 0
2008 4 26.83 -0.95 1 1 0
2008 5 27.18 -0.67 4 2 1
2008 6 27.17 -0.48 1 1 0
2008 7 27.19 -0.03 2 2 0
2008 8 26.85 0.03 4 1 0
2008 9 26.44 -0.28 5 3 2
2008 10 26.33 -0.36 1 0 0
2008 11 26.3 -0.35 3 0 0
2008 12 25.74 -0.83 1 1 0
2009 1 25.54 -1.03 0 0 0
2009 2 26.04 -0.68 0 0 0
2009 3 26.67 -0.55 0 0 0
2009 4 27.5 -0.27 0 0 0
2009 5 28.03 0.18 2 2 0
2009 6 28.11 0.47 2 0 0
2009 7 27.94 0.72 4 1 0
2009 8 27.53 0.71 4 2 1
2009 9 27.47 0.75 7 5 3
2009 10 27.63 0.94 3 2 1
2009 11 28.19 1.54 1 1 1
2009 12 28.3 1.72 0 0 0
2010 1 28.07 1.5 0 0 0
2010 2 27.94 1.22 0 0 0
2010 3 28.29 1.08 1 0 0
2010 4 28.36 0.59 0 0 0
2010 5 27.68 -0.17 0 0 0
2010 6 27 -0.65 0 0 0
2010 7 26.09 -1.13 2 2 0
2010 8 25.5 -1.32 5 1 0
2010 9 25.07 -1.65 4 3 1
2010 10 25.01 -1.68 2 2 1
2010 11 25.07 -1.58 0 0 0
2010 12 24.95 -1.62 0 0 0
2011 1 24.93 -1.64 0 0 0
2011 2 25.46 -1.27 0 0 0
2011 3 26.23 -0.98 0 0 0
2011 4 27.02 -0.76 0 0 0
2011 5 27.42 -0.43 2 1 1
2011 6 27.46 -0.18 3 0 0
2011 7 26.96 -0.26 4 2 2
2011 8 26.19 -0.64 3 1 1
2011 9 25.98 -0.74 7 4 1
2011 10 25.72 -0.97 1 0 0
2011 11 25.6 -1.05 0 0 0
2011 12 25.53 -1.04 1 0 0
2012 1 25.49 -1.08 0 0 0
2012 2 26.03 -0.69 0 0 0
2012 3 26.63 -0.58 1 0 0
2012 4 27.38 -0.39 0 0 0
2012 5 27.8 -0.05 2 2 0
2012 6 27.95 0.31 3 1 1
2012 7 27.75 0.53 4 3 0
2012 8 27.55 0.73 5 4 1
2012 9 27.24 0.51 5 2 2
2012 10 26.98 0.29 3 2 0
2012 11 27.01 0.36 1 1 1
2012 12 26.46 -0.11 1 0 0
2013 1 26.16 -0.41 1 0 0
2013 2 26.32 -0.4 1 0 0
2013 3 27 -0.22 0 0 0
2013 4 27.68 -0.1 0 0 0
2013 5 27.57 -0.27 0 0 0
2013 6 27.43 -0.21 4 0 0
2013 7 26.91 -0.31 3 1 1
2013 8 26.54 -0.28 7 3 1
2013 9 26.65 -0.07 7 4 1
2013 10 26.36 -0.33 6 6 2
2013 11 26.65 0.01 2 1 1
2013 12 26.53 -0.04 0 0 0
2014 1 26.06 -0.51 2 0 0
2014 2 26.18 -0.55 1 1 0
2014 3 26.99 -0.22 0 0 0
2014 4 28.01 0.24 2 0 0
2014 5 28.31 0.46 0 0 0
2014 6 28.11 0.46 2 0 0
2014 7 27.4 0.18 6 5 4
2014 8 27.02 0.2 0 0 0
2014 9 27.17 0.45 5 2 0
2014 10 27.17 0.49 2 2 2
2014 11 27.5 0.85 2 1 1
2014 12 27.35 0.78 1 0 0
2015 1 27.1 0.53 2 2 1
2015 2 27.29 0.56 1 1 0
2015 3 27.79 0.58 2 1 1
2015 4 28.56 0.78 1 0 0
2015 5 28.88 1.03 2 2 2
2015 6 28.96 1.32 2 1 1
2015 7 28.82 1.6 4 4 2
2015 8 28.89 2.07 4 3 3
2015 9 29 2.28 5 3 2
2015 10 29.15 2.46 3 3 2
2015 11 29.6 2.95 1 1 1
2015 12 29.39 2.82 1 1 1
2016 1 29.17 2.6 0 0 0
2016 2 29.12 2.4 0 0 0
2016 3 28.9 1.68 0 0 0
2016 4 28.87 1.09 0 0 0
2016 5 28.15 0.3 0 0 0
2016 6 27.53 -0.12 0 0 0
2016 7 26.73 -0.49 4 2 1
2016 8 26.28 -0.54 8 2 1
2016 9 26.11 -0.61 6 4 3
2016 10 25.96 -0.73 5 4 2
2016 11 26.1 -0.55 2 0 0
2016 12 26.16 -0.41 1 1 1
